"","subject","stream","orientation","efficacy","latency","precision","val","warnings","valGuessing","pLRtest"
"1","AA","Left","Canonical",0.839399955020533,0.476811208904703,0.952361327647317,200.795407549377,"None",320.321397512898,1.52585695296619e-51
"2","AA","Left","Inverted",0.418010964969027,0.972905034835175,0.430709710310277,277.378413199531,"None",330.089296773354,1.06028312696485e-22
"3","AA","Right","Canonical",0.526992692541914,0.530323935090122,0.730682688929098,267.308765377417,"None",326.60520761575,1.55048849204903e-25
"4","AA","Right","Inverted",0.713207034656563,0.403970192752564,0.849737838365172,231.638401774031,"None",325.23768780068,2.4588925617605e-40
"5","AB","Left","Canonical",0.848137786626738,0.473262684786222,0.664368591546723,176.473068357435,"None",321.633381825035,1.23749695150203e-62
"6","AB","Left","Inverted",0.375803257349257,0.587657038919061,0.691045178458055,299.165899572846,"None",332.968515509303,1.38972157369316e-14
"7","AB","Right","Canonical",0.369014955995219,0.483898727105868,0.685229638304343,298.121584962751,"None",331.171694436649,2.91735037521409e-14
"8","AB","Right","Inverted",0.696395749305266,0.416259302896453,0.867692301732101,239.231090635028,"None",327.007783751317,8.04756083131832e-38
"9","AC","Left","Canonical",0.592563110454138,0.140780467685635,0.770729059658363,258.948574682536,"None",328.670395741468,4.98217429016769e-30
"10","AC","Left","Inverted",0.386232518091573,0.756793040878906,1.34192854737162,309.676401593097,"None",331.459252937885,1.86632148206933e-09
"11","AC","Right","Canonical",0.272893862704633,0.4985017519296,0.778737833976416,318.734741478214,"None",336.725856658085,7.55343729068045e-08
"12","AC","Right","Inverted",0.362033450590122,0.144899167647798,0.651076461364606,292.463278926176,"None",325.451266535027,3.10149495640402e-14
"13","AD","Left","Canonical",0.542358505664947,-0.111056889347098,0.862020593476784,272.416279540148,"None",328.849893416115,2.64981068343108e-24
"14","AD","Left","Inverted",0.210384427916068,0.247395414894036,0.512104911719417,321.125036423157,"None",335.859523536665,1.78470916283754e-06
"15","AD","Right","Canonical",0.189480876658331,-0.171331974592082,0.964645624015797,331.002854492033,"None",339.047195078851,0.00108748469730097
"16","AD","Right","Inverted",0.422222375650469,0.408128397868051,1.67785634569733,307.677909877102,"None",329.091288598602,2.67850661998157e-09
"17","AE","Left","Canonical",0.859632703730658,0.293229083769987,0.808321101242502,185.87490520443,"None",321.239504738936,2.14636885932959e-58
"18","AE","Left","Inverted",0.296583727436435,0.349502860566769,1.28703876147402,319.381114889577,"None",333.104527159783,4.74483297082128e-06
"19","AE","Right","Canonical",0.393432286133048,0.18563168964701,1.31455492809385,313.990042581794,"None",337.481589199936,3.50450680014402e-10
"20","AE","Right","Inverted",0.794476006962042,0.548058753636439,0.844141049549054,209.529875870693,"None",323.663949136448,3.27532739029165e-49
"21","AF","Left","Canonical",0.0608705999094531,2.1411150763205,1e-05,343.885918833559,"list(message = ""NaNs produced"", call = pnorm(binStart + binWidth, latency, precision))",346.988526183794,0.102041923695744
"22","AF","Left","Inverted",0.0196162523216514,-4,4,340.89776287692,"None",340.913231863258,0.998566065573828
"23","AF","Right","Canonical",0.0700112930436094,0.99879861597172,1.00173906630374,341.821490185345,"None",342.996983041639,0.502823822530154
"24","AF","Right","Inverted",0.0618237018252074,-0.603136607736659,0.247164865400454,340.152408016929,"None",342.07108055096,0.279572053712337
"25","AG","Left","Canonical",0.691543061445109,0.281287767237138,0.670665523367637,229.23385033096,"None",328.577444588662,8.1062454195133e-43
"26","AG","Left","Inverted",0.0608724285030441,-1.0782657567598,1e-05,335.903943275567,"list(message = ""NaNs produced"", call = pnorm(binStart + binWidth, latency, precision))",339.006550058289,0.102041974377169
"27","AG","Right","Canonical",0.072727358569218,0.453686180469486,0.0458582527199774,337.55733553308,"None",340.80548964543,0.0898082122352797
"28","AG","Right","Inverted",0.591118426792487,0.0588887735811748,0.598328967885302,245.525682779712,"None",325.666460228968,1.59356239481082e-34
"29","AH","Left","Canonical",0.555822497956017,0.480195077511594,0.596836645280553,257.813423610384,"None",329.3725265546,8.03650646883602e-31
"30","AH","Left","Inverted",0.283724406672124,0.739590469154271,0.650600755542636,312.483393972426,"None",333.897427957332,2.67679123186757e-09
"31","AH","Right","Canonical",0.389645595303006,0.747676488895324,0.511228038654017,289.573476351802,"None",331.963007487756,2.89454205250061e-18
"32","AH","Right","Inverted",0.393715597169776,0.401062761702261,0.467540537988162,287.057289632716,"None",331.045835314757,5.95658191412145e-19
"33","AI","Left","Canonical",0.648397823571004,0.142176428634613,0.535017696776681,229.346286517006,"None",327.360133722153,3.04385915347289e-42
"34","AI","Left","Inverted",0.170913485911969,0.557135703493758,0.191956519042027,331.977779733385,"None",343.455306282967,4.12635878058249e-05
"35","AI","Right","Canonical",0.258188073824162,0.426829747621226,0.183549072753429,306.069287565033,"None",329.826812378699,2.70060695843417e-10
"36","AI","Right","Inverted",0.543833349316732,0.0812082080529205,0.406980098149228,241.125415565044,"None",324.495936221931,6.42962746345368e-36
"37","AJ","Left","Canonical",0.658831612814358,0.361215028331886,0.5066881064453,222.614310357276,"None",325.08955931583,3.59280066521944e-44
"38","AJ","Left","Inverted",0.464329876558335,0.305368338601165,0.703373887348415,279.90969748036,"None",328.079028787725,9.51930854447473e-21
"39","AJ","Right","Canonical",0.450323058205798,0.185014506694104,0.804108336384985,285.986395006338,"None",328.638156315621,2.23359016141371e-18
"40","AJ","Right","Inverted",0.48748183867561,0.26994090277738,0.975070673805778,284.960804117832,"None",328.218872782833,1.22654544265877e-18
"41","AK","Left","Canonical",0.785452244398488,0.455773682334248,0.546228421656032,183.888750969634,"None",320.054329386878,9.66307682542351e-59
"42","AK","Left","Inverted",0.265629314778676,0.590514055154197,0.663794931462419,320.607591307785,"None",339.626299493737,2.77538689027006e-08
"43","AK","Right","Canonical",0.503662239238128,0.734901395295541,0.818449562767024,276.155878286676,"None",326.878879961013,7.59551571524979e-22
"44","AK","Right","Inverted",0.513620401716626,0.252318167544676,0.565948529789646,264.458853874773,"None",328.446435914616,1.47707923917361e-27
